Country,Year,Overall_Score
Malaysia,2010,5.933333333333334
Malaysia,2011,8.216666666666667
Malaysia,2012,6.716666666666666
Malaysia,2013,6.366666666666667
Malaysia,2014,7.066666666666666
Malaysia,2015,7.816666666666666
Malaysia,2016,7.6499999999999995
Malaysia,2017,7.166666666666667
Malaysia,2018,6.8
Malaysia,2019,7.383333333333333
Malaysia,2020,8.783333333333333
Malaysia,2021,14.0
Malaysia,2022,15.1
Malaysia,2023,15.200000000000001
Malaysia,2024,15.666666666666666
Malaysia,2025,16.080000000000002
Poland,2004,23.416666666666668
Poland,2005,23.616666666666664
Poland,2006,24.099999999999998
Poland,2007,23.166666666666668
Poland,2008,22.55
Poland,2009,25.400000000000002
Poland,2010,25.46666666666667
Poland,2011,26.2
Poland,2012,24.53333333333333
Poland,2013,23.266666666666666
Poland,2014,23.46666666666667
Poland,2015,24.400000000000002
Poland,2016,23.650000000000002
Poland,2017,24.5
Poland,2018,25.05
Poland,2019,26.333333333333332
Poland,2020,15.75
Poland,2021,16.783333333333335
Poland,2022,21.05
Poland,2023,23.066666666666666
Poland,2024,23.116666666666664
Poland,2025,21.44
South Korea,2004,8.866666666666667
South Korea,2005,7.6499999999999995
South Korea,2006,6.433333333333334
South Korea,2007,5.916666666666667
South Korea,2008,5.733333333333333
South Korea,2009,5.5
South Korea,2010,9.700000000000001
South Korea,2011,10.133333333333333
South Korea,2012,10.5
South Korea,2013,10.566666666666666
South Korea,2014,12.066666666666668
South Korea,2015,13.666666666666666
South Korea,2016,12.866666666666667
South Korea,2017,14.016666666666666
South Korea,2018,15.950000000000001
South Korea,2019,20.766666666666666
South Korea,2020,15.383333333333333
South Korea,2021,10.916666666666666
South Korea,2022,10.266666666666667
South Korea,2023,8.9
South Korea,2024,7.8500000000000005
South Korea,2025,8.48
Sweden,2004,19.066666666666666
Sweden,2005,19.066666666666666
Sweden,2006,19.616666666666667
Sweden,2007,18.483333333333334
Sweden,2008,18.25
Sweden,2009,20.566666666666666
Sweden,2010,19.45
Sweden,2011,20.166666666666668
Sweden,2012,20.133333333333333
Sweden,2013,20.683333333333334
Sweden,2014,21.05
Sweden,2015,23.316666666666666
Sweden,2016,24.5
Sweden,2017,26.633333333333336
Sweden,2018,28.233333333333334
Sweden,2019,28.55
Sweden,2020,18.866666666666667
Sweden,2021,19.933333333333334
Sweden,2022,26.166666666666668
Sweden,2023,28.566666666666666
Sweden,2024,27.96666666666667
Sweden,2025,26.96
Turkey,2004,25.983333333333334
Turkey,2005,22.78333333333333
Turkey,2006,18.733333333333334
Turkey,2007,16.7
Turkey,2008,19.333333333333332
Turkey,2009,20.349999999999998
Turkey,2010,19.216666666666665
Turkey,2011,18.866666666666667
Turkey,2012,17.95
Turkey,2013,17.233333333333334
Turkey,2014,19.233333333333334
Turkey,2015,19.866666666666667
Turkey,2016,20.45
Turkey,2017,24.3
Turkey,2018,24.95
Turkey,2019,26.71666666666667
Turkey,2020,17.133333333333333
Turkey,2021,15.383333333333333
Turkey,2022,22.45
Turkey,2023,21.133333333333333
Turkey,2024,21.383333333333336
Turkey,2025,20.119999999999997
United Kingdom,2004,32.233333333333334
United Kingdom,2005,31.483333333333334
United Kingdom,2006,30.8
United Kingdom,2007,31.483333333333334
United Kingdom,2008,31.066666666666666
United Kingdom,2009,30.03333333333333
United Kingdom,2010,25.96666666666667
United Kingdom,2011,28.25
United Kingdom,2012,26.900000000000002
United Kingdom,2013,26.083333333333332
United Kingdom,2014,25.53333333333333
United Kingdom,2015,27.133333333333336
United Kingdom,2016,27.166666666666668
United Kingdom,2017,27.21666666666667
United Kingdom,2018,27.349999999999998
United Kingdom,2019,27.616666666666664
United Kingdom,2020,18.533333333333335
United Kingdom,2021,23.333333333333332
United Kingdom,2022,26.599999999999998
United Kingdom,2023,26.599999999999998
United Kingdom,2024,27.099999999999998
United Kingdom,2025,26.160000000000004
