Kategori: Tüm kategoriler

Ay,koncert: (Polonya),kino: (Polonya),muzeum: (Polonya),książka: (Polonya),teatr: (Polonya)
2012-05,13,44,17,20,20
2012-06,11,40,12,18,15
2012-07,13,58,14,18,10
2012-08,13,59,14,18,12
2012-09,13,57,14,21,24
2012-10,11,54,11,21,26
2012-11,14,66,12,23,28
2012-12,11,56,10,23,23
2013-01,12,62,11,21,27
2013-02,14,68,11,20,28
2013-03,15,43,11,18,22
2013-04,12,43,14,19,22
2013-05,15,44,17,19,19
2013-06,16,39,13,18,15
2013-07,14,51,14,17,10
2013-08,14,55,15,18,12
2013-09,10,41,13,18,23
2013-10,10,47,12,21,27
2013-11,11,53,12,22,29
2013-12,11,52,9,24,23
2014-01,12,64,11,22,27
2014-02,11,64,12,20,28
2014-03,10,47,12,19,25
2014-04,12,36,13,19,18
2014-05,14,41,18,18,19
2014-06,14,40,13,19,15
2014-07,12,46,15,17,10
2014-08,14,51,16,18,11
2014-09,11,41,13,21,22
2014-10,11,55,14,20,26
2014-11,13,64,16,23,26
2014-12,12,58,12,25,22
2015-01,12,71,14,24,25
2015-02,12,86,15,24,28
2015-03,11,48,15,20,24
2015-04,10,38,15,20,19
2015-05,12,37,19,20,20
2015-06,13,39,14,19,15
2015-07,13,52,17,18,10
2015-08,14,45,16,18,11
2015-09,10,44,14,20,21
2015-10,12,53,13,20,27
2015-11,12,72,13,23,29
2015-12,12,56,11,27,22
2016-01,11,65,11,21,24
2016-02,10,84,14,20,26
2016-03,10,50,12,19,20
2016-04,11,37,15,18,21
2016-05,12,37,17,18,18
2016-06,12,36,12,18,13
2016-07,14,54,17,16,8
2016-08,13,53,17,17,10
2016-09,10,51,14,20,20
2016-10,13,65,12,20,25
2016-11,13,68,13,22,25
2016-12,11,51,10,25,20
2017-01,12,70,12,20,23
2017-02,10,86,13,20,25
2017-03,9,59,13,20,22
2017-04,9,45,15,19,17
2017-05,14,41,17,18,18
2017-06,16,48,14,17,14
2017-07,13,57,19,16,10
2017-08,11,51,18,15,10
2017-09,10,53,14,20,20
2017-10,10,67,13,19,25
2017-11,12,67,13,23,24
2017-12,11,58,10,25,20
2018-01,12,75,13,20,23
2018-02,10,91,14,22,24
2018-03,10,54,12,20,20
2018-04,10,35,14,17,17
2018-05,12,36,18,18,16
2018-06,13,39,14,17,14
2018-07,14,51,17,17,9
2018-08,15,54,18,17,10
2018-09,11,73,15,20,20
2018-10,12,87,12,21,23
2018-11,16,72,12,24,22
2018-12,15,61,10,25,20
2019-01,12,85,12,21,24
2019-02,11,100,16,20,24
2019-03,10,58,13,20,21
2019-04,9,44,15,19,15
2019-05,13,43,18,20,17
2019-06,16,37,13,17,11
2019-07,15,62,19,18,10
2019-08,16,61,21,18,11
2019-09,11,62,14,22,19
2019-10,11,64,14,23,23
2019-11,13,90,14,26,25
2019-12,13,71,11,28,21
2020-01,13,87,15,24,26
2020-02,12,92,16,24,24
2020-03,8,24,9,22,13
2020-04,7,6,6,23,6
2020-05,5,8,9,23,6
2020-06,4,12,10,21,6
2020-07,5,19,17,19,5
2020-08,7,19,19,20,5
2020-09,6,31,14,24,10
2020-10,4,21,8,22,8
2020-11,3,7,6,29,5
2020-12,4,6,6,30,5
2021-01,5,6,7,26,5
2021-02,5,22,13,22,12
2021-03,4,11,9,23,8
2021-04,5,4,7,22,4
2021-05,6,16,13,21,7
2021-06,10,30,13,17,9
2021-07,13,37,20,18,8
2021-08,17,41,23,19,9
2021-09,12,41,16,23,15
2021-10,13,51,13,23,18
2021-11,12,50,12,25,17
2021-12,11,39,9,27,13
2022-01,11,51,13,25,16
2022-02,9,50,16,24,18
2022-03,11,31,12,21,16
2022-04,12,31,14,20,14
2022-05,16,28,19,20,14
2022-06,21,27,15,18,11
2022-07,19,45,21,18,8
2022-08,20,34,22,20,9
2022-09,14,33,15,23,16
2022-10,15,50,15,23,19
2022-11,14,42,14,24,21
2022-12,15,37,11,25,17
2023-01,14,54,17,24,22
2023-02,13,57,19,23,21
2023-03,12,39,16,21,18
2023-04,13,28,16,20,15
2023-05,14,32,19,20,14
2023-06,23,31,17,20,12
2023-07,21,53,20,19,9
2023-08,25,47,22,21,9
2023-09,17,44,17,23,17
2023-10,14,52,15,22,19
2023-11,15,46,15,27,21
2023-12,16,38,11,27,18
2024-01,15,53,15,22,20
2024-02,15,62,19,21,22
2024-03,15,51,15,21,18
2024-04,14,32,17,19,16
2024-05,18,28,22,20,15
2024-06,23,33,19,18,12
2024-07,22,40,24,17,8
2024-08,24,40,25,19,10
2024-09,16,34,18,22,18
2024-10,15,39,17,21,20
2024-11,18,51,17,24,20
2024-12,21,39,13,27,18
2025-01,17,43,18,23,21
2025-02,21,46,19,21,20
2025-03,19,32,17,19,18
2025-04,14,28,15,18,13
2025-05,16,25,22,18,13
