Kategori: Tüm kategoriler

Ay,Konzert: (Almanya),Kino: (Almanya),Museum: (Almanya),Buch: (Almanya),Theater: (Almanya)
2010-08,9,83,19,22,14
2010-09,9,64,16,23,20
2010-10,9,71,18,22,22
2010-11,11,80,15,23,25
2010-12,10,61,13,26,24
2011-01,12,93,19,26,26
2011-02,10,89,19,26,26
2011-03,10,74,16,26,22
2011-04,10,76,17,24,20
2011-05,9,72,17,26,19
2011-06,13,90,18,23,19
2011-07,11,100,20,23,18
2011-08,9,86,21,24,17
2011-09,9,72,19,26,23
2011-10,12,78,21,25,26
2011-11,14,88,18,28,29
2011-12,14,87,18,33,31
2012-01,10,90,19,26,26
2012-02,9,87,18,26,24
2012-03,10,76,17,25,23
2012-04,10,89,20,25,21
2012-05,11,66,17,25,19
2012-06,11,59,18,25,18
2012-07,11,78,19,24,17
2012-08,10,83,19,24,15
2012-09,12,64,18,28,21
2012-10,13,82,20,26,25
2012-11,15,91,17,31,28
2012-12,14,93,16,37,29
2013-01,10,86,18,28,25
2013-02,10,81,18,27,22
2013-03,10,78,19,27,20
2013-04,10,58,19,26,20
2013-05,12,76,21,26,19
2013-06,14,61,16,24,17
2013-07,11,65,16,25,15
2013-08,11,84,19,26,16
2013-09,10,60,17,27,20
2013-10,13,70,19,27,25
2013-11,14,80,17,31,29
2013-12,15,86,16,35,31
2014-01,11,75,18,29,26
2014-02,12,68,18,28,23
2014-03,12,62,17,26,20
2014-04,11,61,19,27,19
2014-05,11,58,19,27,19
2014-06,12,43,15,26,16
2014-07,10,56,17,25,14
2014-08,10,84,23,26,16
2014-09,11,56,17,28,19
2014-10,13,70,19,30,26
2014-11,16,74,17,33,30
2014-12,18,82,18,38,27
2015-01,11,83,19,30,24
2015-02,11,88,19,30,23
2015-03,12,69,20,28,21
2015-04,10,69,21,28,19
2015-05,12,65,20,26,18
2015-06,17,58,17,28,17
2015-07,14,78,18,26,15
2015-08,12,66,22,26,14
2015-09,14,76,19,28,20
2015-10,14,88,20,30,24
2015-11,18,83,17,33,27
2015-12,18,91,17,39,28
2016-01,12,87,18,31,22
2016-02,12,80,18,32,21
2016-03,12,71,20,30,19
2016-04,12,54,17,30,18
2016-05,13,51,18,28,16
2016-06,12,48,16,27,15
2016-07,13,65,17,28,12
2016-08,11,66,19,27,13
2016-09,11,59,17,30,18
2016-10,15,81,21,30,23
2016-11,16,69,16,38,24
2016-12,16,79,16,40,25
2017-01,12,82,18,32,22
2017-02,13,88,19,31,21
2017-03,13,69,18,33,20
2017-04,12,74,22,31,18
2017-05,14,49,17,29,17
2017-06,16,57,17,29,15
2017-07,15,70,20,28,14
2017-08,12,66,21,29,13
2017-09,13,63,19,29,18
2017-10,14,90,24,33,23
2017-11,16,67,19,35,24
2017-12,17,75,17,40,26
2018-01,13,70,19,34,22
2018-02,14,71,19,30,20
2018-03,13,71,22,32,20
2018-04,12,49,18,28,16
2018-05,12,47,18,27,15
2018-06,16,41,17,28,14
2018-07,17,51,19,27,13
2018-08,14,61,22,29,14
2018-09,17,59,20,31,18
2018-10,15,74,22,33,21
2018-11,17,72,18,37,25
2018-12,18,81,20,44,26
2019-01,12,78,20,33,21
2019-02,12,72,21,33,19
2019-03,14,67,21,32,20
2019-04,11,65,22,33,16
2019-05,14,57,20,31,16
2019-06,19,44,18,28,14
2019-07,19,76,22,29,12
2019-08,16,72,23,31,13
2019-09,15,65,20,34,18
2019-10,16,88,24,34,23
2019-11,20,87,20,38,24
2019-12,20,83,19,43,26
2020-01,13,79,22,37,22
2020-02,14,78,21,33,20
2020-03,16,29,11,36,14
2020-04,9,7,7,39,6
2020-05,6,11,13,35,6
2020-06,6,16,15,36,7
2020-07,6,26,20,34,7
2020-08,7,30,20,35,7
2020-09,5,31,18,35,10
2020-10,4,38,17,34,10
2020-11,3,6,7,42,5
2020-12,4,5,6,45,5
2021-01,3,4,7,39,4
2021-02,3,4,7,37,4
2021-03,3,4,12,34,4
2021-04,3,3,18,33,4
2021-05,5,7,11,32,5
2021-06,7,17,14,29,8
2021-07,10,62,20,32,9
2021-08,10,64,26,31,10
2021-09,11,45,18,32,12
2021-10,11,70,23,35,17
2021-11,14,41,16,40,15
2021-12,10,41,14,44,15
2022-01,9,44,19,40,14
2022-02,8,46,20,37,13
2022-03,12,41,17,36,14
2022-04,16,47,24,35,14
2022-05,22,39,20,30,13
2022-06,30,43,21,31,13
2022-07,29,52,21,30,11
2022-08,31,53,25,34,10
2022-09,24,53,21,34,15
2022-10,21,65,23,36,17
2022-11,19,50,18,41,20
2022-12,24,64,18,44,22
2023-01,17,73,23,40,21
2023-02,18,61,22,36,18
2023-03,21,61,24,35,18
2023-04,20,63,25,33,16
2023-05,24,42,21,33,13
2023-06,31,38,19,32,13
2023-07,33,75,26,33,13
2023-08,24,77,30,34,12
2023-09,25,51,22,38,17
2023-10,22,64,27,39,21
2023-11,26,52,21,45,22
2023-12,24,58,19,48,23
2024-01,16,59,22,40,20
2024-02,20,61,24,40,19
2024-03,18,63,28,40,18
2024-04,17,52,26,38,17
2024-05,22,43,26,37,14
2024-06,21,43,21,35,14
2024-07,29,53,26,35,12
2024-08,30,59,29,38,12
2024-09,23,48,24,40,17
2024-10,21,57,26,42,20
2024-11,24,54,19,47,21
2024-12,25,60,21,56,23
2025-01,17,57,24,45,19
2025-02,20,53,22,42,18
2025-03,18,45,23,40,16
2025-04,17,45,24,40,14
2025-05,20,37,21,39,14
