Kategori: Tüm kategoriler

Ay,concert: (Amerika Birleşik Devletleri),cinema: (Amerika Birleşik Devletleri),museum: (Amerika Birleşik Devletleri),book: (Amerika Birleşik Devletleri),theater: (Amerika Birleşik Devletleri)
2010-01,10,17,23,93,38
2010-02,10,14,23,87,35
2010-03,12,13,23,81,33
2010-04,13,12,23,88,30
2010-05,14,14,23,85,34
2010-06,14,16,22,76,35
2010-07,16,19,24,75,40
2010-08,13,15,22,79,33
2010-09,12,12,19,80,27
2010-10,10,14,19,79,31
2010-11,9,15,19,82,34
2010-12,9,15,20,82,34
2011-01,10,14,22,91,37
2011-02,13,14,23,85,37
2011-03,12,13,25,86,34
2011-04,12,14,23,83,35
2011-05,14,16,23,85,38
2011-06,15,18,25,80,41
2011-07,17,21,27,75,48
2011-08,15,17,22,80,38
2011-09,12,13,22,87,33
2011-10,11,13,20,80,35
2011-11,10,15,21,80,38
2011-12,10,15,21,82,40
2012-01,9,16,22,83,36
2012-02,10,15,22,81,40
2012-03,10,15,23,79,36
2012-04,12,15,24,80,36
2012-05,14,15,20,78,37
2012-06,15,17,22,73,40
2012-07,15,20,23,71,50
2012-08,13,14,21,80,34
2012-09,13,13,19,81,32
2012-10,11,13,17,75,30
2012-11,11,16,17,76,39
2012-12,15,16,18,78,41
2013-01,10,16,19,79,38
2013-02,12,14,19,78,34
2013-03,12,14,22,76,38
2013-04,13,12,20,74,32
2013-05,13,16,20,78,38
2013-06,15,19,21,65,41
2013-07,17,20,23,70,45
2013-08,14,16,21,75,39
2013-09,12,12,16,79,31
2013-10,11,11,17,75,28
2013-11,11,17,18,79,39
2013-12,10,16,18,76,39
2014-01,9,15,19,76,35
2014-02,11,13,20,74,34
2014-03,10,14,21,72,32
2014-04,11,12,20,74,32
2014-05,12,14,20,74,34
2014-06,13,16,21,72,39
2014-07,15,18,22,71,41
2014-08,14,17,20,73,39
2014-09,11,12,17,76,29
2014-10,10,13,18,77,34
2014-11,10,16,17,75,39
2014-12,9,16,20,77,42
2015-01,8,18,20,77,41
2015-02,10,16,17,74,37
2015-03,11,14,20,73,32
2015-04,11,15,20,75,34
2015-05,12,16,22,73,36
2015-06,13,19,21,66,41
2015-07,16,18,23,65,41
2015-08,14,15,21,70,37
2015-09,12,12,19,79,32
2015-10,11,14,18,77,32
2015-11,11,15,17,74,37
2015-12,11,19,18,76,44
2016-01,10,18,19,74,40
2016-02,12,17,20,78,40
2016-03,11,16,22,71,38
2016-04,14,15,21,84,36
2016-05,13,15,20,78,37
2016-06,14,19,22,68,43
2016-07,16,23,25,65,49
2016-08,14,18,20,72,39
2016-09,13,13,20,74,32
2016-10,11,14,18,71,33
2016-11,10,15,17,68,37
2016-12,9,19,17,71,41
2017-01,9,18,19,71,41
2017-02,12,16,20,75,40
2017-03,11,18,23,72,42
2017-04,12,15,23,70,38
2017-05,19,15,22,74,34
2017-06,16,19,24,63,44
2017-07,16,19,26,61,45
2017-08,13,13,23,64,34
2017-09,12,14,18,69,34
2017-10,13,13,19,69,31
2017-11,11,16,19,74,40
2017-12,10,19,19,70,44
2018-01,10,17,20,72,40
2018-02,11,19,20,70,43
2018-03,11,16,24,70,37
2018-04,12,17,22,69,38
2018-05,13,15,22,76,36
2018-06,15,18,24,63,44
2018-07,16,18,27,62,42
2018-08,16,15,22,74,35
2018-09,14,12,20,74,32
2018-10,13,14,18,70,35
2018-11,11,17,19,74,39
2018-12,11,16,19,73,39
2019-01,10,14,19,77,33
2019-02,13,13,21,79,32
2019-03,13,14,23,76,37
2019-04,11,15,22,72,40
2019-05,13,14,21,65,37
2019-06,13,16,23,59,41
2019-07,15,17,26,58,41
2019-08,13,13,24,66,33
2019-09,13,12,18,73,32
2019-10,11,12,19,67,32
2019-11,11,14,18,63,36
2019-12,10,15,18,66,35
2020-01,9,13,20,72,35
2020-02,12,12,21,68,31
2020-03,9,5,12,61,17
2020-04,8,2,7,66,6
2020-05,5,2,8,70,9
2020-06,4,3,10,61,9
2020-07,4,3,10,61,9
2020-08,4,3,11,69,9
2020-09,4,3,11,72,10
2020-10,4,3,11,65,11
2020-11,3,3,9,56,9
2020-12,4,3,9,62,9
2021-01,4,3,10,62,9
2021-02,4,3,12,59,9
2021-03,4,4,14,57,11
2021-04,7,4,23,56,13
2021-05,8,5,16,58,15
2021-06,9,7,20,53,23
2021-07,11,8,21,55,25
2021-08,14,6,18,57,21
2021-09,14,6,15,59,19
2021-10,13,7,15,57,25
2021-11,19,7,15,62,23
2021-12,11,9,15,65,29
2022-01,10,6,15,73,20
2022-02,14,7,20,75,23
2022-03,15,7,21,68,26
2022-04,15,7,21,69,24
2022-05,15,8,20,65,26
2022-06,16,10,21,61,33
2022-07,19,11,24,64,33
2022-08,21,7,21,70,23
2022-09,18,7,18,70,22
2022-10,14,7,18,73,24
2022-11,13,7,17,66,25
2022-12,11,8,18,68,25
2023-01,11,8,20,74,25
2023-02,14,7,21,74,25
2023-03,16,8,23,73,26
2023-04,17,8,21,71,28
2023-05,19,8,20,71,25
2023-06,19,10,23,67,31
2023-07,23,14,24,66,39
2023-08,25,10,21,73,27
2023-09,22,7,19,75,23
2023-10,17,7,20,78,24
2023-11,16,7,18,77,25
2023-12,13,8,19,77,27
2024-01,11,7,19,82,22
2024-02,15,6,22,80,23
2024-03,15,7,24,79,25
2024-04,16,6,21,76,21
2024-05,18,6,20,77,23
2024-06,21,9,23,69,30
2024-07,18,10,23,67,31
2024-08,20,8,22,77,26
2024-09,18,6,18,74,23
2024-10,16,5,18,81,21
2024-11,14,7,18,77,26
2024-12,13,8,18,83,27
2025-01,11,6,19,85,21
2025-02,14,5,19,82,20
2025-03,13,5,22,79,19
2025-04,15,7,19,78,24
2025-05,18,6,19,80,23
