Kategori: Tüm kategoriler

Ay,Concert: (Kanada),Cinéma: (Kanada),Musée: (Kanada),Livre: (Kanada),Théâtre: (Kanada)
2011-11,56,50,13,51,10
2011-12,52,55,10,43,8
2012-01,42,51,11,35,8
2012-02,51,46,11,32,9
2012-03,46,52,13,36,8
2012-04,50,47,12,37,9
2012-05,54,38,13,30,8
2012-06,65,41,12,27,7
2012-07,61,51,13,25,9
2012-08,53,45,15,27,7
2012-09,60,33,12,35,8
2012-10,57,35,12,38,9
2012-11,64,47,12,47,10
2012-12,68,43,9,41,8
2013-01,43,46,12,38,7
2013-02,57,37,11,40,8
2013-03,58,39,12,34,7
2013-04,57,31,15,39,8
2013-05,53,36,12,32,8
2013-06,61,39,14,29,6
2013-07,76,43,16,25,7
2013-08,68,47,16,31,7
2013-09,55,31,12,34,7
2013-10,54,31,12,39,8
2013-11,56,34,11,52,8
2013-12,52,36,10,45,8
2014-01,51,32,12,40,7
2014-02,47,32,11,37,7
2014-03,51,35,12,39,8
2014-04,49,27,12,41,7
2014-05,52,27,12,33,7
2014-06,55,29,12,28,6
2014-07,64,38,18,30,6
2014-08,65,41,17,35,6
2014-09,57,28,12,43,7
2014-10,47,31,12,44,7
2014-11,52,31,11,57,8
2014-12,50,36,11,51,7
2015-01,40,34,12,42,6
2015-02,51,36,13,41,7
2015-03,53,36,13,40,7
2015-04,48,34,12,42,7
2015-05,51,28,13,36,7
2015-06,61,34,12,33,6
2015-07,67,43,17,30,6
2015-08,65,37,15,33,5
2015-09,62,27,10,42,7
2015-10,47,31,9,46,7
2015-11,64,36,10,60,8
2015-12,57,41,10,52,7
2016-01,43,36,10,49,5
2016-02,44,33,12,45,6
2016-03,49,32,13,45,6
2016-04,60,23,11,52,8
2016-05,70,23,12,43,6
2016-06,60,27,13,37,5
2016-07,62,40,17,34,6
2016-08,86,32,14,37,6
2016-09,56,23,12,45,6
2016-10,58,27,11,50,6
2016-11,48,28,10,63,7
2016-12,45,33,9,50,6
2017-01,42,36,10,45,5
2017-02,52,32,12,43,6
2017-03,53,33,14,44,6
2017-04,48,27,11,47,6
2017-05,80,27,12,37,6
2017-06,71,25,12,34,5
2017-07,72,32,17,34,6
2017-08,67,29,15,40,6
2017-09,55,23,10,46,6
2017-10,60,26,12,47,6
2017-11,52,26,10,60,7
2017-12,50,30,9,54,6
2018-01,39,28,10,47,5
2018-02,46,28,10,44,6
2018-03,52,28,13,44,6
2018-04,48,26,11,49,7
2018-05,57,19,11,41,6
2018-06,50,21,11,35,5
2018-07,58,29,15,36,6
2018-08,67,27,15,39,6
2018-09,59,19,11,44,6
2018-10,48,23,10,50,7
2018-11,56,25,10,62,7
2018-12,50,30,9,60,6
2019-01,43,24,10,47,5
2019-02,54,22,10,47,6
2019-03,50,27,12,46,6
2019-04,53,25,10,45,6
2019-05,53,23,11,40,6
2019-06,57,24,11,37,5
2019-07,61,31,16,34,6
2019-08,58,29,16,40,5
2019-09,52,25,10,48,5
2019-10,47,27,10,46,6
2019-11,51,27,9,63,7
2019-12,46,32,9,58,6
2020-01,40,27,9,49,6
2020-02,49,25,10,49,6
2020-03,47,14,8,43,3
2020-04,55,2,3,48,2
2020-05,23,2,3,45,1
2020-06,20,4,5,39,1
2020-07,20,9,10,40,1
2020-08,20,12,10,46,2
2020-09,18,10,7,47,2
2020-10,18,5,3,56,2
2020-11,17,3,4,65,2
2020-12,21,3,3,63,2
2021-01,21,2,3,56,1
2021-02,17,5,8,53,2
2021-03,15,10,8,51,2
2021-04,17,7,5,49,2
2021-05,20,6,5,49,2
2021-06,23,12,8,41,3
2021-07,26,20,15,40,3
2021-08,34,19,12,47,3
2021-09,33,12,8,50,4
2021-10,35,19,8,53,5
2021-11,75,19,8,67,6
2021-12,41,13,7,60,4
2022-01,28,3,7,54,2
2022-02,39,17,9,50,4
2022-03,58,19,10,54,6
2022-04,65,15,10,49,6
2022-05,69,13,9,44,6
2022-06,80,20,9,40,5
2022-07,88,22,13,38,6
2022-08,91,19,12,47,5
2022-09,88,11,8,52,6
2022-10,62,14,9,53,5
2022-11,61,16,8,69,6
2022-12,55,22,7,62,5
2023-01,49,21,8,53,5
2023-02,61,19,10,55,6
2023-03,65,19,9,51,6
2023-04,61,19,8,54,5
2023-05,76,13,8,46,5
2023-06,86,16,12,43,5
2023-07,90,28,13,42,5
2023-08,96,29,12,46,5
2023-09,89,16,8,52,5
2023-10,85,19,8,54,6
2023-11,84,17,8,69,6
2023-12,65,19,8,60,5
2024-01,52,15,8,54,4
2024-02,69,16,9,55,5
2024-03,73,19,11,54,5
2024-04,74,13,8,58,6
2024-05,69,10,9,47,5
2024-06,77,16,9,42,5
2024-07,77,19,11,41,5
2024-08,96,20,11,49,5
2024-09,86,11,9,54,5
2024-10,76,12,7,58,5
2024-11,100,16,7,71,6
2024-12,73,16,7,68,4
2025-01,57,12,9,58,4
2025-02,76,10,9,56,5
2025-03,69,11,9,57,5
2025-04,68,10,8,55,5
2025-05,67,10,9,48,5
