Kategori: Tüm kategoriler

Ay,concerto: (Brezilya),cinema: (Brezilya),museu: (Brezilya),livro: (Brezilya),teatro: (Brezilya)
2017-02,1,60,5,58,10
2017-03,2,60,6,68,14
2017-04,1,66,6,70,13
2017-05,1,44,6,63,13
2017-06,1,52,6,62,13
2017-07,1,65,8,51,13
2017-08,1,41,6,64,13
2017-09,1,47,8,64,13
2017-10,1,45,8,61,13
2017-11,1,45,6,59,12
2017-12,1,53,5,48,8
2018-01,1,60,6,49,9
2018-02,1,55,5,58,9
2018-03,1,42,6,63,12
2018-04,1,52,6,70,12
2018-05,1,54,6,64,12
2018-06,1,39,5,57,11
2018-07,1,60,7,53,12
2018-08,1,35,6,69,13
2018-09,1,43,23,61,12
2018-10,1,39,7,56,11
2018-11,1,46,6,66,11
2018-12,2,50,6,57,8
2019-01,2,65,7,50,8
2019-02,2,40,6,56,9
2019-03,1,52,7,61,12
2019-04,1,76,7,66,12
2019-05,2,62,7,61,12
2019-06,1,53,8,56,11
2019-07,1,87,9,50,10
2019-08,1,43,7,62,12
2019-09,2,39,7,65,12
2019-10,1,49,7,55,11
2019-11,1,44,18,55,11
2019-12,1,41,7,47,7
2020-01,1,63,8,50,7
2020-02,1,45,6,55,9
2020-03,1,19,4,59,6
2020-04,1,6,3,61,3
2020-05,1,7,4,63,4
2020-06,2,8,4,61,4
2020-07,2,7,3,59,4
2020-08,1,7,5,55,5
2020-09,1,8,4,56,5
2020-10,1,11,4,48,5
2020-11,1,13,4,48,5
2020-12,1,12,4,45,4
2021-01,1,12,4,48,3
2021-02,1,12,4,50,3
2021-03,1,7,4,56,4
2021-04,1,8,3,59,4
2021-05,1,12,4,56,5
2021-06,1,23,5,58,5
2021-07,2,28,5,47,4
2021-08,1,19,5,53,8
2021-09,2,19,5,54,7
2021-10,1,26,6,52,8
2021-11,2,30,5,54,8
2021-12,2,46,5,47,6
2022-01,1,34,6,56,4
2022-02,2,25,5,57,6
2022-03,2,28,6,65,8
2022-04,2,31,7,67,9
2022-05,2,35,7,64,9
2022-06,2,31,7,59,9
2022-07,2,41,8,57,8
2022-08,1,25,6,61,10
2022-09,1,34,11,62,10
2022-10,1,27,8,56,8
2022-11,1,28,7,61,9
2022-12,2,31,6,52,6
2023-01,2,39,9,53,6
2023-02,2,40,7,57,7
2023-03,2,28,8,67,10
2023-04,2,38,8,64,9
2023-05,2,45,8,62,9
2023-06,2,40,8,60,9
2023-07,2,69,10,54,10
2023-08,2,31,8,62,10
2023-09,2,34,8,65,10
2023-10,2,40,8,60,9
2023-11,2,31,7,57,8
2023-12,2,31,6,52,6
2024-01,2,41,8,55,6
2024-02,2,43,6,62,7
2024-03,2,35,7,66,9
2024-04,2,28,8,70,9
2024-05,2,34,8,63,9
2024-06,2,59,8,63,9
2024-07,1,55,10,56,9
2024-08,1,36,8,66,10
2024-09,1,29,7,67,10
2024-10,2,33,7,60,8
2024-11,2,36,7,61,8
2024-12,2,38,6,54,6
2025-01,2,39,7,57,7
2025-02,2,31,6,59,6
2025-03,2,28,6,66,8
2025-04,2,29,7,67,8
2025-05,2,31,7,64,8
