Year,Country,Rank,Name,Overall Score
2018,Turkey,1039.0,Ankara University,14.13
2018,Turkey,1046.0,Gazi University,13.812499999999998
2018,Turkey,1047.0,Anadolu University,13.699999999999998
2018,Turkey,1050.0,Dokuz Eylül University,13.5475
2018,Turkey,1084.0,Yeditepe University,11.69
2018,Turkey,1099.0,Ondokuz Mayis University,10.579999999999998
2019,Turkey,395.0,Sabancı University,41.7775
2019,Turkey,436.0,Koç University,40.06999999999999
2019,Turkey,514.0,Bilkent University,36.5525
2019,Turkey,557.0,Boğaziçi University,35.0775
2019,Turkey,599.0,Hacettepe University,33.565
2019,Turkey,696.0,Istanbul Technical University,29.5375
2019,Turkey,782.0,Middle East Technical University,26.6125
2019,Turkey,900.0,Atılım University,22.055000000000003
2019,Turkey,904.0,Gebze Technical University,21.8425
2019,Turkey,939.0,Istanbul University,20.67
2019,Turkey,971.0,Erciyes University,19.7325
2019,Turkey,976.0,Anadolu University,19.63
2019,Turkey,1010.0,TOBB University of Economics and Technology,18.7325
2019,Turkey,1011.0,Izmir Institute of Technology,18.7325
2019,Turkey,1040.0,Bahçeşehir University,17.9025
2019,Turkey,1064.0,Akdeniz University,17.2025
2019,Turkey,1144.0,Cukurova University,15.0225
2019,Turkey,1145.0,Gazi University,14.985
2019,Turkey,1163.0,Dokuz Eylül University,14.3275
2019,Turkey,1164.0,Ankara University,14.2825
2019,Turkey,1165.0,Marmara University,14.275
2019,Turkey,1194.0,Yeditepe University,13.25
2019,Turkey,1255.0,Ondokuz Mayis University,10.65
2020,Turkey,413.0,Cankaya University,41.9125
2020,Turkey,430.0,Sabancı University,41.205
2020,Turkey,512.0,Koç University,38.3825
2020,Turkey,552.0,Bilkent University,36.7775
2020,Turkey,561.0,Hacettepe University,36.4125
2020,Turkey,673.0,Boğaziçi University,32.545
2020,Turkey,762.0,Istanbul Technical University,29.53
2020,Turkey,790.0,Middle East Technical University,28.612500000000004
2020,Turkey,901.0,Istanbul University,25.4175
2020,Turkey,981.0,Karabük University,22.685
2020,Turkey,994.0,Atılım University,22.3825
2020,Turkey,1040.0,Izmir Institute of Technology,21.1925
2020,Turkey,1059.0,Erciyes University,20.7025
2020,Turkey,1089.0,Anadolu University,19.8775
2020,Turkey,1113.0,Gebze Technical University,19.33
2020,Turkey,1133.0,Bahçeşehir University,18.8025
2020,Turkey,1162.0,Yıldız Technical University,18.1125
2020,Turkey,1176.0,TOBB University of Economics and Technology,17.81
2020,Turkey,1188.0,Marmara University,17.4625
2020,Turkey,1228.0,Cukurova University,16.6325
2020,Turkey,1254.0,Yeditepe University,16.04
2020,Turkey,1266.0,Dokuz Eylül University,15.687499999999998
2020,Turkey,1271.0,Ankara University,15.495
2020,Turkey,1279.0,Gaziantep University,15.2225
2020,Turkey,1286.0,Gazi University,15.037499999999998
2020,Turkey,1295.0,Ege University,14.875
2020,Turkey,1296.0,Selçuk University,14.862499999999995
2020,Turkey,1334.0,Acıbadem University,13.784999999999998
2020,Turkey,1340.0,Tokat Gaziosmanpaşa University,13.69
2020,Turkey,1345.0,Akdeniz University,13.6
2020,Turkey,1355.0,Başkent University,13.197499999999998
2020,Turkey,1379.0,Istanbul Medipol University,12.245
2020,Turkey,1387.0,Ondokuz Mayis University,11.947499999999998
2020,Turkey,1390.0,Süleyman Demirel University,11.5125
2021,Turkey,428.0,Cankaya University,42.125
2021,Turkey,488.0,Koç University,40.2825
2021,Turkey,525.0,Sabancı University,39.085
2021,Turkey,589.0,Hacettepe University,36.71999999999999
2021,Turkey,639.0,Bilkent University,35.0525
2021,Turkey,747.0,Boğaziçi University,31.725
2021,Turkey,797.0,Ozyegin University,30.3
2021,Turkey,831.0,Middle East Technical University,29.4675
2021,Turkey,851.0,Istanbul Technical University,28.75
2021,Turkey,887.0,Istanbul University,27.807499999999997
2021,Turkey,993.0,Karabük University,25.275
2021,Turkey,1049.0,Bezmiâlem Vakif University,23.7825
2021,Turkey,1076.0,Atatürk University,22.965000000000003
2021,Turkey,1098.0,Yıldız Technical University,22.184999999999995
2021,Turkey,1102.0,Bahçeşehir University,22.1275
2021,Turkey,1134.0,Anadolu University,21.3175
2021,Turkey,1153.0,Atılım University,20.8275
2021,Turkey,1157.0,Erciyes University,20.735
2021,Turkey,1188.0,Gazi University,19.98
2021,Turkey,1240.0,Gebze Technical University,18.735
2021,Turkey,1242.0,Izmir Institute of Technology,18.7125
2021,Turkey,1250.0,TOBB University of Economics and Technology,18.6025
2021,Turkey,1285.0,Duzce University,17.8525
2021,Turkey,1301.0,Dokuz Eylül University,17.6175
2021,Turkey,1305.0,Ege University,17.5025
2021,Turkey,1342.0,Selçuk University,17.037499999999998
2021,Turkey,1356.0,Ankara University,16.74
2021,Turkey,1359.0,Marmara University,16.674999999999997
2021,Turkey,1374.0,Cukurova University,16.287499999999998
2021,Turkey,1398.0,Gaziantep University,15.794999999999998
2021,Turkey,1405.0,Aksaray University,15.6125
2021,Turkey,1414.0,Akdeniz University,15.4975
2021,Turkey,1419.0,Yeditepe University,15.3175
2021,Turkey,1421.0,Tokat Gaziosmanpaşa University,15.275
2021,Turkey,1443.0,Sakarya University,14.624999999999998
2021,Turkey,1444.0,Süleyman Demirel University,14.5425
2021,Turkey,1449.0,Acıbadem University,14.4275
2021,Turkey,1461.0,Eskişehir Osmangazi University,14.135
2021,Turkey,1467.0,Bolu Abant Izzet Baysal University,13.892499999999998
2021,Turkey,1485.0,Istanbul Medipol University,13.2725
2021,Turkey,1505.0,Ondokuz Mayis University,12.7125
2021,Turkey,1511.0,Başkent University,12.22
2021,Turkey,1516.0,Recep Tayyip Erdoğan University,11.875
2022,Turkey,415.0,Cankaya University,43.53
2022,Turkey,509.0,Koç University,40.63
2022,Turkey,585.0,Sabancı University,38.65
2022,Turkey,682.0,Middle East Technical University,35.067499999999995
2022,Turkey,745.0,Hacettepe University,33.1675
2022,Turkey,770.0,Bilkent University,32.485
2022,Turkey,773.0,Istanbul Technical University,32.4775
2022,Turkey,888.0,Istanbul Medeniyet University,30.105
2022,Turkey,901.0,Bahçeşehir University,29.6925
2022,Turkey,909.0,Boğaziçi University,29.4125
2022,Turkey,969.0,Istanbul University-Cerrahpaşa,28.2475
2022,Turkey,1026.0,Istanbul University,26.4875
2022,Turkey,1029.0,Ozyegin University,26.459999999999997
2022,Turkey,1067.0,Karabük University,25.6
2022,Turkey,1129.0,Atatürk University,23.9075
2022,Turkey,1160.0,Yıldız Technical University,23.2225
2022,Turkey,1162.0,Duzce University,23.1825
2022,Turkey,1187.0,Atılım University,22.675
2022,Turkey,1199.0,Bezmiâlem Vakif University,22.3725
2022,Turkey,1254.0,Gazi University,20.9975
2022,Turkey,1285.0,Dicle University,20.37
2022,Turkey,1292.0,Anadolu University,20.2375
2022,Turkey,1299.0,Erciyes University,20.050000000000004
2022,Turkey,1312.0,Gebze Technical University,19.75
2022,Turkey,1316.0,Necmettin Erbakan University,19.6775
2022,Turkey,1326.0,Sakarya University,19.5425
2022,Turkey,1364.0,Selçuk University,18.82
2022,Turkey,1392.0,Ankara University,18.3
2022,Turkey,1400.0,Dokuz Eylül University,18.19
2022,Turkey,1412.0,TOBB University of Economics and Technology,17.967499999999998
2022,Turkey,1423.0,Erzincan Binali Yıldırım University,17.805
2022,Turkey,1424.0,Izmir Institute of Technology,17.802500000000002
2022,Turkey,1438.0,Marmara University,17.52
2022,Turkey,1449.0,Ege University,17.3425
2022,Turkey,1480.0,Tokat Gaziosmanpaşa University,16.869999999999997
2022,Turkey,1490.0,Yeditepe University,16.6175
2022,Turkey,1498.0,Karadeniz Technical University,16.3875
2022,Turkey,1509.0,Eskişehir Osmangazi University,16.175
2022,Turkey,1511.0,Cukurova University,16.1575
2022,Turkey,1519.0,Gaziantep University,15.9975
2022,Turkey,1534.0,Aksaray University,15.637499999999998
2022,Turkey,1537.0,Acıbadem University,15.5775
2022,Turkey,1539.0,Istanbul Medipol University,15.545
2022,Turkey,1544.0,Süleyman Demirel University,15.4325
2022,Turkey,1554.0,Zonguldak Bülent Ecevit University,15.2125
2022,Turkey,1556.0,Dumlupinar University,15.174999999999995
2022,Turkey,1561.0,Bursa Uludağ University,15.107499999999998
2022,Turkey,1576.0,Bolu Abant Izzet Baysal University,14.6975
2022,Turkey,1578.0,Akdeniz University,14.6025
2022,Turkey,1598.0,Sivas Cumhuriyet University,13.8175
2022,Turkey,1612.0,Ondokuz Mayis University,13.4425
2022,Turkey,1636.0,Başkent University,12.8775
2022,Turkey,1644.0,Recep Tayyip Erdoğan University,12.6325
2022,Turkey,1659.0,Kocaeli University,11.517500000000002
2023,Turkey,404.0,Koç University,44.9275
2023,Turkey,460.0,Cankaya University,43.055
2023,Turkey,490.0,Sabancı University,42.3725
2023,Turkey,565.0,Middle East Technical University,40.4325
2023,Turkey,704.0,Hacettepe University,36.255
2023,Turkey,721.0,Bahçeşehir University,35.76
2023,Turkey,763.0,Istanbul Technical University,34.645
2023,Turkey,823.0,Bilkent University,33.49
2023,Turkey,868.0,Firat University,32.567499999999995
2023,Turkey,903.0,Duzce University,31.5925
2023,Turkey,935.0,Boğaziçi University,31.1275
2023,Turkey,954.0,Istanbul Medeniyet University,30.827500000000004
2023,Turkey,995.0,Ozyegin University,29.860000000000003
2023,Turkey,1013.0,Yıldız Technical University,29.41
2023,Turkey,1082.0,Atılım University,27.595
2023,Turkey,1091.0,Istanbul University-Cerrahpaşa,27.27
2023,Turkey,1096.0,Sakarya University,27.0125
2023,Turkey,1140.0,Istanbul University,26.16
2023,Turkey,1167.0,Necmettin Erbakan University,25.3425
2023,Turkey,1226.0,Gazi University,23.745
2023,Turkey,1246.0,Atatürk University,23.4625
2023,Turkey,1269.0,Selçuk University,23.115
2023,Turkey,1278.0,Anadolu University,22.92
2023,Turkey,1294.0,Bezmiâlem Vakif University,22.5275
2023,Turkey,1316.0,Karabük University,21.855
2023,Turkey,1350.0,TOBB University of Economics and Technology,21.255000000000003
2023,Turkey,1368.0,Erciyes University,20.87
2023,Turkey,1413.0,Gebze Technical University,20.115
2023,Turkey,1426.0,Dokuz Eylül University,19.8025
2023,Turkey,1437.0,Ankara University,19.6175
2023,Turkey,1448.0,Tokat Gaziosmanpaşa University,19.33
2023,Turkey,1457.0,Ege University,19.205
2023,Turkey,1461.0,Istanbul Medipol University,19.1
2023,Turkey,1474.0,Bozok University,18.8475
2023,Turkey,1481.0,Marmara University,18.7025
2023,Turkey,1487.0,Akdeniz University,18.66
2023,Turkey,1501.0,Acıbadem University,18.375
2023,Turkey,1504.0,Dumlupinar University,18.3275
2023,Turkey,1505.0,Erzincan Binali Yıldırım University,18.285
2023,Turkey,1513.0,Van Yüzüncü Yil University,18.129999999999995
2023,Turkey,1539.0,Gaziantep University,17.625
2023,Turkey,1545.0,Kirikkale University,17.564999999999998
2023,Turkey,1566.0,Eskişehir Osmangazi University,17.205
2023,Turkey,1569.0,Süleyman Demirel University,17.080000000000002
2023,Turkey,1581.0,Bolu Abant Izzet Baysal University,16.842499999999998
2023,Turkey,1585.0,Inönü University,16.7925
2023,Turkey,1593.0,Ondokuz Mayis University,16.665
2023,Turkey,1601.0,Cukurova University,16.545
2023,Turkey,1613.0,Yeditepe University,16.3125
2023,Turkey,1614.0,Izmir Institute of Technology,16.307499999999997
2023,Turkey,1622.0,Manisa Celal Bayar University,16.2075
2023,Turkey,1626.0,Zonguldak Bülent Ecevit University,16.174999999999997
2023,Turkey,1631.0,Sivas Cumhuriyet University,16.105
2023,Turkey,1639.0,Aksaray University,15.81
2023,Turkey,1648.0,Bursa Uludağ University,15.62
2023,Turkey,1653.0,Karadeniz Technical University,15.52
2023,Turkey,1687.0,Recep Tayyip Erdoğan University,14.825
2023,Turkey,1716.0,Dicle University,13.895
2023,Turkey,1726.0,Kocaeli University,13.64
2023,Turkey,1754.0,Uşak University,12.9325
2023,Turkey,1766.0,Başkent University,12.764999999999995
2024,Turkey,380.0,Sabancı University,49.79549999999999
2024,Turkey,382.0,Koç University,49.777
2024,Turkey,399.0,Middle East Technical University,49.094
2024,Turkey,547.0,Istanbul Technical University,43.642
2024,Turkey,703.0,Bilkent University,39.287
2024,Turkey,725.0,Boğaziçi University,38.8125
2024,Turkey,746.0,Cankaya University,38.121
2024,Turkey,776.0,Hacettepe University,37.482
2024,Turkey,807.0,Bahçeşehir University,36.822500000000005
2024,Turkey,868.0,Yıldız Technical University,35.581
2024,Turkey,928.0,Ozyegin University,34.437
2024,Turkey,1049.0,Istanbul University-Cerrahpaşa,31.578499999999995
2024,Turkey,1053.0,Akdeniz University,31.471499999999995
2024,Turkey,1057.0,Bartin University,31.3815
2024,Turkey,1063.0,Firat University,31.1515
2024,Turkey,1090.0,Necmettin Erbakan University,30.5215
2024,Turkey,1166.0,TOBB University of Economics and Technology,28.877
2024,Turkey,1184.0,Istanbul University,28.533500000000004
2024,Turkey,1207.0,Ege University,28.073
2024,Turkey,1210.0,Duzce University,28.0465
2024,Turkey,1220.0,Karabük University,27.862
2024,Turkey,1240.0,Istanbul Medeniyet University,27.434999999999995
2024,Turkey,1262.0,Istanbul Bilgi University,27.0515
2024,Turkey,1273.0,Gazi University,26.9115
2024,Turkey,1279.0,Atatürk University,26.87
2024,Turkey,1293.0,Selçuk University,26.6795
2024,Turkey,1319.0,Erciyes University,26.142
2024,Turkey,1348.0,Anadolu University,25.693
2024,Turkey,1355.0,Gebze Technical University,25.539
2024,Turkey,1390.0,Cukurova University,24.9025
2024,Turkey,1402.0,Sakarya University,24.6515
2024,Turkey,1404.0,Atılım University,24.6265
2024,Turkey,1449.0,Izmir Institute of Technology,23.6085
2024,Turkey,1464.0,Bezmiâlem Vakif University,23.393
2024,Turkey,1473.0,Dokuz Eylül University,23.2475
2024,Turkey,1508.0,Izmir University of Economics,22.67
2024,Turkey,1530.0,Istanbul Aydın University,22.2725
2024,Turkey,1533.0,Van Yüzüncü Yil University,22.2245
2024,Turkey,1545.0,Ankara University,21.927
2024,Turkey,1572.0,Istanbul Medipol University,21.495
2024,Turkey,1575.0,Dicle University,21.411999999999995
2024,Turkey,1577.0,Süleyman Demirel University,21.4085
2024,Turkey,1578.0,Gaziantep University,21.4005
2024,Turkey,1579.0,Marmara University,21.3565
2024,Turkey,1589.0,Acıbadem University,21.1415
2024,Turkey,1604.0,Kastamonu University,20.8245
2024,Turkey,1610.0,Tokat Gaziosmanpaşa University,20.756
2024,Turkey,1616.0,Yeditepe University,20.648
2024,Turkey,1638.0,Eskişehir Osmangazi University,20.0995
2024,Turkey,1650.0,Erzincan Binali Yıldırım University,19.7845
2024,Turkey,1658.0,Ankara Yildirim Beyazit University,19.595
2024,Turkey,1659.0,Karadeniz Technical University,19.561
2024,Turkey,1666.0,Bozok University,19.409
2024,Turkey,1667.0,Ondokuz Mayis University,19.3505
2024,Turkey,1675.0,Bolu Abant Izzet Baysal University,19.185
2024,Turkey,1688.0,Bursa Technical University,18.855
2024,Turkey,1708.0,Bursa Uludağ University,18.2245
2024,Turkey,1718.0,Sivas Cumhuriyet University,17.947999999999997
2024,Turkey,1736.0,Zonguldak Bülent Ecevit University,17.3195
2024,Turkey,1747.0,Recep Tayyip Erdoğan University,17.07
2024,Turkey,1748.0,Kirikkale University,17.052500000000002
2024,Turkey,1751.0,Bilecik Şeyh Edebali University,16.984499999999997
2024,Turkey,1752.0,Başkent University,16.962
2024,Turkey,1753.0,Çankırı Karatekin University,16.9515
2024,Turkey,1754.0,Niğde Ömer Halisdemir University,16.904
2024,Turkey,1763.0,Inönü University,16.729499999999998
2024,Turkey,1772.0,Kocaeli University,16.5445
2024,Turkey,1783.0,Aksaray University,16.196
2024,Turkey,1786.0,Dumlupinar University,16.147000000000002
2024,Turkey,1812.0,Kırşehir Ahi Evran University,15.3005
2024,Turkey,1824.0,Ordu University,15.0075
2024,Turkey,1836.0,Manisa Celal Bayar University,14.7015
2024,Turkey,1846.0,Pamukkale University,14.518999999999998
2024,Turkey,1862.0,Hitit University,14.226
2024,Turkey,1871.0,Uşak University,13.8365
2025,Turkey,355.0,Sabancı University,50.98899999999999
2025,Turkey,373.0,Koç University,50.411
2025,Turkey,387.0,Middle East Technical University,49.7405
2025,Turkey,565.0,Istanbul Technical University,44.239
2025,Turkey,613.0,Boğaziçi University,42.8125
2025,Turkey,718.0,Bilkent University,40.067
2025,Turkey,807.0,Cankaya University,38.08
2025,Turkey,833.0,Kadir Has University,37.6225
2025,Turkey,853.0,Hacettepe University,37.2475
2025,Turkey,900.0,Yıldız Technical University,36.343
2025,Turkey,923.0,Bahçeşehir University,35.914
2025,Turkey,971.0,Ozyegin University,34.944
2025,Turkey,1022.0,Bartin University,33.814
2025,Turkey,1052.0,Istanbul Gelişim University,33.368500000000004
2025,Turkey,1084.0,Atatürk University,32.7235
2025,Turkey,1112.0,Anadolu University,32.196
2025,Turkey,1142.0,Inönü University,31.6785
2025,Turkey,1166.0,Selçuk University,31.158
2025,Turkey,1171.0,Yaşar University,31.053
2025,Turkey,1190.0,İstinye University,30.752
2025,Turkey,1196.0,Istanbul University-Cerrahpaşa,30.685
2025,Turkey,1202.0,Necmettin Erbakan University,30.605
2025,Turkey,1225.0,Akdeniz University,30.1315
2025,Turkey,1275.0,Firat University,29.2905
2025,Turkey,1316.0,Gebze Technical University,28.4845
2025,Turkey,1337.0,Duzce University,28.1025
2025,Turkey,1360.0,Ege University,27.839
2025,Turkey,1367.0,Erciyes University,27.645
2025,Turkey,1390.0,Istanbul University,27.228500000000004
2025,Turkey,1394.0,TOBB University of Economics and Technology,27.164
2025,Turkey,1409.0,Istanbul Medeniyet University,26.9555
2025,Turkey,1435.0,Gazi University,26.442
2025,Turkey,1454.0,"University of Health Sciences, Turkey",26.034499999999998
2025,Turkey,1505.0,Sakarya University,25.098000000000003
2025,Turkey,1506.0,Süleyman Demirel University,25.0955
2025,Turkey,1519.0,Karabük University,24.8985
2025,Turkey,1530.0,Istanbul Bilgi University,24.826
2025,Turkey,1559.0,Kastamonu University,24.376
2025,Turkey,1569.0,Dokuz Eylül University,24.138
2025,Turkey,1584.0,Karadeniz Technical University,23.888
2025,Turkey,1586.0,Istanbul Medipol University,23.812
2025,Turkey,1603.0,Istanbul Aydın University,23.567
2025,Turkey,1604.0,Konya Technical University,23.5565
2025,Turkey,1633.0,Marmara University,23.1215
2025,Turkey,1637.0,Atılım University,23.1
2025,Turkey,1642.0,Bezmiâlem Vakif University,23.074
2025,Turkey,1678.0,Acıbadem University,22.426
2025,Turkey,1684.0,Izmir University of Economics,22.2725
2025,Turkey,1688.0,Gaziantep University,22.2325
2025,Turkey,1689.0,Van Yüzüncü Yil University,22.232
2025,Turkey,1693.0,Ankara University,22.041000000000004
2025,Turkey,1701.0,Tokat Gaziosmanpaşa University,21.9735
2025,Turkey,1719.0,Izmir Institute of Technology,21.5855
2025,Turkey,1720.0,Aydın Adnan Menderes University,21.569
2025,Turkey,1724.0,Dicle University,21.4725
2025,Turkey,1741.0,Yeditepe University,21.178
2025,Turkey,1742.0,Eskişehir Osmangazi University,21.1715
2025,Turkey,1745.0,Ankara Yildirim Beyazit University,21.118
2025,Turkey,1748.0,Cukurova University,21.0755
2025,Turkey,1751.0,Ondokuz Mayis University,21.059
2025,Turkey,1772.0,Recep Tayyip Erdoğan University,20.466
2025,Turkey,1780.0,Bolu Abant Izzet Baysal University,20.2495
2025,Turkey,1786.0,Altınbaş University,20.154499999999995
2025,Turkey,1787.0,Burdur Mehmet Akif Ersoy University,20.1355
2025,Turkey,1801.0,Bursa Uludağ University,19.866
2025,Turkey,1803.0,Erzincan Binali Yıldırım University,19.859
2025,Turkey,1814.0,Sivas Cumhuriyet University,19.729000000000003
2025,Turkey,1838.0,Muş Alparslan University,19.1395
2025,Turkey,1841.0,Kirikkale University,19.0315
2025,Turkey,1853.0,Bozok University,18.7995
2025,Turkey,1869.0,Bilecik Şeyh Edebali University,18.456000000000003
2025,Turkey,1879.0,Eskişehir Technical University,18.2255
2025,Turkey,1884.0,Adana Alparslan Türkeş Science and Technology University,18.15
2025,Turkey,1895.0,Bursa Technical University,17.773
2025,Turkey,1897.0,Niğde Ömer Halisdemir University,17.720000000000002
2025,Turkey,1901.0,Mersin University,17.641
2025,Turkey,1909.0,Zonguldak Bülent Ecevit University,17.406
2025,Turkey,1922.0,Çankırı Karatekin University,16.9555
2025,Turkey,1923.0,Uşak University,16.953
2025,Turkey,1927.0,Başkent University,16.9015
2025,Turkey,1933.0,Dumlupinar University,16.757
2025,Turkey,1934.0,Kocaeli University,16.723499999999998
2025,Turkey,1937.0,Afyon Kocatepe University,16.6265
2025,Turkey,1946.0,Ordu University,16.482499999999998
2025,Turkey,1962.0,Mugla Sitki Kocman University,16.032999999999998
2025,Turkey,1964.0,Aksaray University,15.991
2025,Turkey,1965.0,Kırşehir Ahi Evran University,15.984
2025,Turkey,1979.0,Manisa Celal Bayar University,15.6265
2025,Turkey,1997.0,Trakya University,15.339
2025,Turkey,2006.0,Hitit University,15.159
2025,Turkey,2009.0,Pamukkale University,15.0975
2016,Germany,29.0,LMU Munich,77.3
2016,Germany,37.0,Universität Heidelberg,74.4
2016,Germany,49.0,Humboldt University of Berlin,69.9
2016,Germany,53.0,Technical University of Munich,69.4
2016,Germany,72.0,Free University of Berlin,63.2
2016,Germany,78.0,University of Tübingen,61.7
2016,Germany,84.0,University of Freiburg,60.7
2016,Germany,94.0,University of Bonn,58.8
2016,Germany,99.0,University of Göttingen,58.0
2016,Germany,107.0,University of Mannheim,57.7
2016,Germany,112.0,RWTH Aachen University,57.2
2016,Germany,125.0,University of Erlangen-Nuremberg,56.0
2016,Germany,127.0,University of Münster,55.9
2016,Germany,140.0,Karlsruhe Institute of Technology,54.5
2016,Germany,157.0,University of Cologne,52.3
2016,Germany,159.0,TU Dresden,52.1
2016,Germany,175.0,University of Konstanz,50.8
2016,Germany,185.0,University of Würzburg,49.9
2016,Germany,192.0,Ulm University,49.5
2016,Germany,195.0,Charité - Universitätsmedizin Berlin,49.3
2016,Germany,202.0,Goethe University Frankfurt,48.5775
2016,Germany,203.0,University of Stuttgart,48.5075
2016,Germany,209.0,University of Duisburg-Essen,47.87499999999999
2016,Germany,213.0,University of Kiel,47.5695744680851
2016,Germany,235.0,Technical University of Darmstadt,45.9775
2016,Germany,252.0,Johannes Gutenberg University of Mainz,44.52499999999999
2016,Germany,256.0,Bielefeld University,44.3175
2016,Germany,279.0,University of Bayreuth,42.405
2016,Germany,302.0,Ruhr University Bochum,40.70249999999999
2016,Germany,304.0,Justus Liebig University Giessen,40.57999999999999
2016,Germany,314.0,TU Dortmund University,40.065000000000005
2016,Germany,317.0,University of Hohenheim,39.9525
2016,Germany,333.0,University of Bremen,38.98
2016,Germany,335.0,Leibniz University Hannover,38.7
2016,Germany,347.0,University of Greifswald,38.4125
2016,Germany,403.0,University of Kaiserslautern,35.222500000000004
2016,Germany,543.0,Otto von Guericke University of Magdeburg,27.335
2017,Germany,30.0,LMU Munich,76.795
2017,Germany,44.0,Universität Heidelberg,72.9525
2017,Germany,46.0,Technical University of Munich,71.545
2017,Germany,57.0,Humboldt University of Berlin,69.235
2017,Germany,75.0,Free University of Berlin,63.70249999999999
2017,Germany,79.0,RWTH Aachen University,62.98
2017,Germany,83.0,Technical University of Berlin,62.03
2017,Germany,90.0,University of Tübingen,61.2725
2017,Germany,95.0,University of Freiburg,60.90249999999999
2017,Germany,102.0,University of Mannheim,59.8475
2017,Germany,112.0,University of Göttingen,58.755
2017,Germany,115.0,University of Bonn,58.6675
2017,Germany,136.0,Ulm University,56.5575
2017,Germany,146.0,Karlsruhe Institute of Technology,55.790000000000006
2017,Germany,161.0,University of Erlangen-Nuremberg,53.96249999999999
2017,Germany,162.0,University of Münster,53.93749999999999
2017,Germany,165.0,TU Dresden,53.52749999999999
2017,Germany,171.0,University of Cologne,53.11000000000001
2017,Germany,182.0,University of Hamburg,51.9975
2017,Germany,187.0,University of Würzburg,51.602500000000006
2017,Germany,195.0,University of Konstanz,51.1325
2017,Germany,198.0,University of Duisburg-Essen,50.830000000000005
2017,Germany,214.0,University of Kiel,49.5575
2017,Germany,229.0,University of Stuttgart,48.1
2017,Germany,240.0,Goethe University Frankfurt,47.28999999999999
2017,Germany,246.0,Technical University of Darmstadt,46.59
2017,Germany,262.0,Bielefeld University,46.017500000000005
2017,Germany,265.0,Johannes Gutenberg University of Mainz,45.76249999999999
2017,Germany,273.0,University of Marburg,45.455
2017,Germany,284.0,University of Bayreuth,44.71249999999999
2017,Germany,290.0,Ruhr University Bochum,44.28999999999999
2017,Germany,292.0,University of Hohenheim,44.2825
2017,Germany,306.0,University of Bremen,43.145
2017,Germany,336.0,Justus Liebig University Giessen,41.485
2017,Germany,347.0,TU Dortmund University,41.05
2017,Germany,355.0,Leibniz University Hannover,40.1975
2017,Germany,401.0,University of Kaiserslautern,37.6625
2017,Germany,404.0,University of Greifswald,37.4075
2017,Germany,422.0,University of Siegen,36.87499999999999
2017,Germany,581.0,Paderborn University,28.62
2017,Germany,595.0,Otto von Guericke University of Magdeburg,27.9675
2018,Germany,35.0,LMU Munich,76.1725
2018,Germany,41.0,Technical University of Munich,73.48
2018,Germany,45.0,Universität Heidelberg,72.25250000000001
2018,Germany,62.0,Humboldt University of Berlin,67.415
2018,Germany,79.0,RWTH Aachen University,63.3025
2018,Germany,82.0,University of Freiburg,62.88999999999999
2018,Germany,88.0,Free University of Berlin,62.12
2018,Germany,92.0,Technical University of Berlin,61.485
2018,Germany,94.0,University of Tübingen,61.175
2018,Germany,101.0,University of Bonn,60.5275
