ISO,Year (N),Rank N,Score N
JPN,2015,61,73.05
GBR,2015,34,80
JOR,2015,143,57.93
CAN,2015,8,89.01
SWE,2015,5,90.53
KOR,2015,60,73.45
MYS,2015,147,56.71
TUR,2016,151,49.24
POL,2016,47,76.11
BRA,2016,104,67.38
DEU,2016,16,85.2
JPN,2016,72,71.33
GBR,2016,38,78.3
JOR,2016,135,55.51
CAN,2016,18,84.74
SWE,2016,8,87.67
KOR,2016,70,71.42
MYS,2016,146,53.43
TUR,2017,155,47.02
POL,2017,54,73.53
BRA,2017,103,66.42
DEU,2017,16,85.03
JPN,2017,72,70.56
GBR,2017,40,77.74
JOR,2017,138,56.76
CAN,2017,22,83.47
SWE,2017,2,91.73
KOR,2017,63,72.39
MYS,2017,144,53.11
TUR,2018,157,46.5
POL,2018,58,73.41
BRA,2018,102,68.8
DEU,2018,15,85.61
JPN,2018,67,71.36
GBR,2018,40,76.75
JOR,2018,132,58.29
CAN,2018,18,84.72
SWE,2018,2,91.69
KOR,2018,43,76.49
MYS,2018,145,52.59
TUR,2019,157,47.19
POL,2019,59,71.11
BRA,2019,105,67.21
DEU,2019,13,85.4
JPN,2019,67,70.64
GBR,2019,33,77.77
JOR,2019,130,56.89
CAN,2019,18,84.31
SWE,2019,3,91.69
KOR,2019,41,75.06
MYS,2019,123,63.26
TUR,2020,154,49.98
POL,2020,62,71.35
BRA,2020,107,65.95
DEU,2020,11,87.84
JPN,2020,66,71.14
GBR,2020,35,77.07
JOR,2020,128,57.92
CAN,2020,16,84.71
SWE,2020,4,90.75
KOR,2020,42,76.3
MYS,2020,101,66.88
TUR,2021,153,50.21
POL,2021,64,71.16
BRA,2021,111,63.75
DEU,2021,13,84.76
JPN,2021,67,71.12
GBR,2021,33,78.41
JOR,2021,129,57.11
CAN,2021,14,84.75
SWE,2021,3,92.76
KOR,2021,42,76.57
MYS,2021,119,60.53
TUR,2022,149,41.25
POL,2022,66,65.64
BRA,2022,110,55.36
DEU,2022,16,82.04
JPN,2022,71,64.37
GBR,2022,24,78.71
JOR,2022,120,48.66
CAN,2022,19,81.74
SWE,2022,3,88.84
KOR,2022,43,72.11
MYS,2022,113,51.55
TUR,2023,165,33.97
POL,2023,57,67.66
BRA,2023,92,58.67
DEU,2023,21,81.91
JPN,2023,68,63.95
GBR,2023,26,78.51
JOR,2023,146,42.79
CAN,2023,15,83.53
SWE,2023,4,88.15
KOR,2023,47,70.83
MYS,2023,73,62.83
TUR,2024,158,31.6
POL,2024,47,69.17
BRA,2024,82,58.59
DEU,2024,10,83.84
JPN,2024,70,62.12
GBR,2024,23,77.51
JOR,2024,132,44.3
CAN,2024,14,81.7
SWE,2024,3,88.32
KOR,2024,62,64.87
MYS,2024,107,52.07
TUR,2025,159,29.4
POL,2025,31,74.79
BRA,2025,63,63.8
DEU,2025,11,83.85
JPN,2025,66,63.14
GBR,2025,20,78.89
JOR,2025,147,35.25
CAN,2025,21,78.75
SWE,2025,4,88.13
KOR,2025,61,64.06
MYS,2025,88,56.09
TUR,2012,148,47.3684210526316
POL,2012,24,93.8618421052632
BRA,2012,99,70.1776315789474
DEU,2012,18,95.3947368421053
JPN,2012,22,94.0789473684211
GBR,2012,28,92.1052631578947
JOR,2012,128,56.0526315789474
CAN,2012,10,97.1513157894737
SWE,2012,12,97.0394736842105
KOR,2012,44,85.0855263157895
MYS,2012,124,56.5789473684211
